C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
2023-03-09 17:42:15,396 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,397 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,427 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,428 - STREAM b'IDAT' 41 17863
2023-03-09 17:42:15,439 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,440 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,440 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,470 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,471 - STREAM b'IDAT' 41 20742
2023-03-09 17:42:15,482 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,483 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,484 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,929 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,930 - STREAM b'IDAT' 41 24050
2023-03-09 17:42:15,944 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,945 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,945 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,971 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,971 - STREAM b'IDAT' 41 17269
2023-03-09 17:42:15,983 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,983 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,984 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:16,012 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,012 - STREAM b'IDAT' 41 16902
2023-03-09 17:42:16,025 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,026 - STREAM b'pHYs' 41 9
2023-03-09 17:42:16,026 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:16,052 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,053 - STREAM b'IDAT' 41 18092
2023-03-09 17:42:16,065 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,066 - STREAM b'pHYs' 41 9
2023-03-09 17:42:16,066 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:16,563 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,564 - STREAM b'IDAT' 41 23257
2023-03-09 17:42:16,577 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,579 - STREAM b'pHYs' 41 9
2023-03-09 17:42:16,580 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:16,611 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,611 - STREAM b'IDAT' 41 20856
2023-03-09 17:42:16,623 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,623 - STREAM b'pHYs' 41 9
2023-03-09 17:42:16,623 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:16,647 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,649 - STREAM b'IDAT' 41 19342
2023-03-09 17:42:16,660 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,662 - STREAM b'pHYs' 41 9
2023-03-09 17:42:16,662 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:16,689 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,689 - STREAM b'IDAT' 41 19224
2023-03-09 17:42:16,700 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,701 - STREAM b'pHYs' 41 9
2023-03-09 17:42:16,701 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:17,243 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,244 - STREAM b'IDAT' 41 20210
2023-03-09 17:42:17,259 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,261 - STREAM b'pHYs' 41 9
2023-03-09 17:42:17,261 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:17,286 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,287 - STREAM b'IDAT' 41 20736
2023-03-09 17:42:17,299 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,301 - STREAM b'pHYs' 41 9
2023-03-09 17:42:17,301 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:17,331 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,332 - STREAM b'IDAT' 41 23076
2023-03-09 17:42:17,345 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,346 - STREAM b'pHYs' 41 9
2023-03-09 17:42:17,346 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:17,376 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,377 - STREAM b'IDAT' 41 23547
2023-03-09 17:42:17,393 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,394 - STREAM b'pHYs' 41 9
2023-03-09 17:42:17,395 - STREAM b'IDAT' 62 8192
